		4.2.1	Virksomheden har vurderet sin påvirkning på biodiversitet gennem f.eks. lys, støj, forurening, invasive arter eller kemikalier.	10	FALSK	0	30	0,0	
		4.2.2	Virksomheden bidrager til at beskytte eller forbedre lokal biodiversitet gennem konkrete tiltag som fx beplantning af hjemmehørende arter, levesteder for insekter og fugle, eller partnerskaber med naturorganisationer.	10	FALSK			0,0	
		4.2.3	Virksomheden har vurderet, om dens aktiviteter påvirker truede arter eller økosystemtjenester (fx bestøvning, rensning af luft/vand) og dokumenteret eventuelle indsatser.	10	FALSK			0,0	
	4.3	Strategi og dokumentation							
		4.3.1	Virksomheden har en politik for biodiversitet, som tager hensyn til biodiversiteten og økosystemerne som virksomheden påvirker.	20	FALSK	0	50	0,0	
		4.3.2	Virksomheden har konkrete målsætninger for biodiversitet.	10	FALSK			0,0	
		4.3.3	Virksomheden har en handlingsplan/strategi for at opnå disse mål.	20	FALSK			0,0	
E5	Ressourceanvendelse og cirkulær økonomi					0	100	0,0	20
	5.1	Cirkulær økonomi							
		5.1.1	Virksomheden har en politik for ressourceanvendelse og cirkulær økonomi.	20	FALSK	0	50	0,0	
		5.1.2	Virksomheden har konkrete mål for at forbedre ressourceeffektivitet og cirkulær økonomi.	10	FALSK			0,0	
		5.1.3	Virksomheden har en handlingsplan/strategi for at opnå disse mål.	20	FALSK			0,0	
	5.2	Affaldshåndtering							
		5.2.1	Virksomheden har dokumenteret sin samlede årlige affaldsmængde.	15	FALSK	0	50	0,0	
		5.2.2	Hvis virksomheden arbejder i en materialetung sektor, har den dokumenteret mængden af forskellige materialetyper i ton/m³.	10	FALSK			0,0	
		5.2.3	Virksomheden har en politik for affaldshåndtering.	10	FALSK			0,0	
		5.2.4	Virksomheden har konkrete mål for at reducere affaldsmængden og øge genbrug/genanvendelse.	5	FALSK			0,0	
		5.2.5	Virksomheden har en handlingsplan/strategi for at opnå disse mål.	10	FALSK			0,0	
S1	Egen arbejdsstyrke					65	100	4,5	7
	1.1	Arbejdsulykker							
		1.1.1	Virksomheden har dokumenteret antallet af arbejdsulykker og deres frekvens.	5	SAND	20	20	0,3	
		1.1.2	Virksomheden har en politik for sundhed og sikkerhed, der sigter mod at forebygge arbejdsulykker.	10	SAND			0,7	
		1.1.3	Virksomheden har registreret arbejdsrelaterede dødsfald og arbejder på at reducere sådanne hændelser.	5	SAND			0,3	
	1.2	Vederlag og overenskomster							
		1.2.1	Virksomheden sikrer, at alle ansatte modtager en løn, der lever op til lovgivning eller overenskomster.	5	SAND	10	20	0,3	
		1.2.2	Virksomheden har dokumenteret lønforskellen mellem mandlige og kvindelige ansatte, hvis relevant.	5	FALSK			0,0	
		1.2.3	Virksomheden har en strategi for lønstruktur og ansættelsesvilkår.	5	SAND			0,3	
		1.2.4	Virksomheden har angivet procentdelen af medarbejderne er dækket af kollektive overenskomster.	5	FALSK			0,0	
	1.3	Uddannelse							
		1.3.1	Virksomheden tilbyder uddannelse til sine ansatte og har dokumenteret uddannelsestimer pr. ansat.	5	SAND	5	15	0,3	
		1.3.2	Uddannelsestimerne er opdelt efter køn og relevante medarbejdergrupper.	5	FALSK			0,0	
		1.3.3	Virksomheden har en strategi for medarbejderudvikling og kompetenceopbygning.	5	FALSK			0,0	
	1.4	Menneskerettigheder og etiske retningslinjer							
		1.4.1	Virksomheden har en Code of Conduct eller en menneskerettighedspolitik, der dækker nøgleområder som børnearbejde, tvangsarbejde og diskrimination.	5	FALSK	10	15	0,0	
		1.4.2	Virksomheden har en strategi for at håndtere medarbejderklager og sikre et etisk arbejdsmiljø.	5	SAND			0,3	
		1.4.3	Virksomheden har tidligere håndteret hændelser relateret til menneskerettigheder og har dokumenteret de skridt, der blev taget.	5	SAND			0,3	
	1.5	Demografiske data							
		1.5.1	Virksomheden har dokumenteret antal ansatte og opdelingen mellem midlertidige og fastansatte.	2,5	SAND	10	10	0,2	
		1.5.2	Der er dokumenteret kønsfordeling blandt medarbejderne.	2,5	SAND			0,2	
		1.5.3	Virksomheden har registreret ansatte i henhold til ansættelseskontrakter fordelt på lande.	2,5	SAND			0,2	
		1.5.4	Hvis relevant, er medarbejderomsætningen dokumenteret og angivet i procent.	2,5	SAND			0,2	
	1.6	Sundhed og arbejdsmiljø							
		1.6.1	Virksomheden har en politik for arbejdsmiljø, der inkluderer tiltag for at sikre et sundt og sikkert arbejdsmiljø.	5	SAND	10	20	0,3	
		1.6.2	Virksomheden gennemfører regelmæssigt arbejdspladsvurdering (APV) for at identificere risici og forbedre arbejdsmiljøet.	5	SAND			0,3	
		1.6.3	Virksomheden har konkrete målsætninger for at forbedre arbejdsmiljøet og arbejdstageres sundhed.	5	FALSK			0,0	
		1.6.4	Virksomheden har en handlingsplan/strategi for at opnå forbedringer i arbejdsmiljøet og sundhed.	5	FALSK			0,0	
S2	Arbejdstagere i værdikæden					45	100	3,1	7
	2.1	Kortlægning og risikovurdering							
		2.1.1	Virksomheden har identificeret og kortlagt sine væsentligste leverandører og samarbejdspartnere.	15	SAND	30	40	1,0	
		2.1.2	Virksomheden har foretaget en risikovurdering af arbejdsforholdene hos disse aktører, herunder brug af børnearbejde, tvangsarbejde, uformel arbejdskraft og manglende sikkerhed.	15	SAND			1,0	
		2.1.3	Virksomheden har særlig opmærksomhed på risikolande eller brancher med historisk dårlige arbejdsvilkår.	10	FALSK			0,0	
	2.2	Politik og forpligtelser							
		2.2.1	Virksomheden har en politik for arbejdsforhold i værdikæden, som stiller krav om fx foreningsfrihed, overenskomster og rimelig løn.	15	FALSK	15	30	0,0	
		2.2.2	Virksomheden kræver, at leverandører skriver under på en adfærdskodeks (Code of Conduct), der dækker menneskerettigheder og arbejdsforhold.	5	SAND			0,3	
		2.2.3	Virksomheden samarbejder aktivt med leverandører om at forbedre arbejdsforholdene (fx ved at tilbyde støtte, træning eller krav til forbedringer).	10	SAND			0,7	
	2.3	Ansvarlige samarbejdspartnere							
		2.3.1	Virksomheden prioriterer samarbejde med leverandører og underleverandører, der er certificerede (fx ISO 45001, SA8000, B Corp, Fairtrade e.l.).	10	FALSK	0	30	0,0	
		2.3.2	Virksomheden har en politik eller strategi for at vælge partnere ud fra deres arbejde med bæredygtighed og/eller ESG.	5	FALSK			0,0	
		2.3.3	Virksomheden vurderer løbende sine væsentlige samarbejdspartneres praksis inden for arbejdsvilkår og sociale forhold.	5	FALSK			0,0	
		2.3.4	Over 50 % af virksomhedens leverandører har implementeret ESG-politikker, certificeringer eller tilsvarende dokumenterede initiativer.	5	FALSK			0,0	
		2.3.5	Over 90 % af virksomhedens leverandører har implementeret ESG-politikker, certificeringer eller tilsvarende dokumenterede initiativer.	5	FALSK			0,0	
S3	Berørte samfund					100	100	6,9	7
	3.1	Samfundsbaserede rettigheder og påvirkning							
		3.1.1	Virksomheden vurderer de økonomiske, sociale og kulturelle virkninger af sine aktiviteter på de lokalsamfund, den opererer i.	20	SAND	40	40	1,4	
		3.1.2	Virksomheden sikrer ordentlige boligforhold, adgang til passende fødevarer, vand og sanitet for de samfund, der påvirkes af virksomhedens aktiviteter.	10	SAND			0,7	
		3.1.3	Virksomheden respekterer og beskytter borgerlige og politiske rettigheder, herunder ytrings- og forsamlingsfrihed.	10	SAND			0,7	
	3.2	Samfudnsengagement og sponsorater							
		3.2.1	Virksomheden sponsorerer lokale aktiviteter og initiativer, der fremmer samfundets udvikling, såsom sport, kultur og velgørenhed.	20	SAND	60	60	1,4	
		3.2.2	Virksomheden har en politik for at understøtte samfundets økonomiske og sociale udvikling gennem samarbejde med lokale aktører.	20	SAND			1,4	
